random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
823,1,1,1,48,1,1,57.14286
824,0,1,1,70,1,1,
825,1,0,1,61,1,1,
826,1,1,1,39,1,1,85.714287
828,0,0,1,45,1,1,14.285715
830,0,1,1,44,0,0,14.285715
831,1,1,1,69,0,0,
832,0,0,1,42,0,0,71.428574
833,0,0,1,33,1,1,57.14286
834,0,0,1,53,1,1,85.714287
835,0,0,1,26,1,1,
836,1,0,1,33,1,1,
837,0,1,1,80,0,0,
838,1,0,2,71,0,0,
840,1,1,1,72,1,1,
841,0,0,2,80,0,0,57.14286
842,0,0,1,41,1,1,57.14286
843,0,0,2,66,0,0,
844,0,0,1,45,1,1,28.57143
846,1,1,1,81,1,1,14.285715
848,0,0,1,56,1,1,
851,0,0,2,31,1,1,
852,0,0,1,35,1,1,
853,0,0,1,49,0,0,42.857143
854,0,0,1,50,1,1,
855,1,1,2,82,0,0,
857,1,1,1,48,1,1,57.14286
858,0,0,1,34,1,1,57.14286
859,1,1,1,34,1,1,85.714287
860,1,1,1,51,1,1,14.285715
861,1,0,1,49,1,1,
863,0,0,1,51,1,1,85.714287
864,1,1,1,61,0,0,14.285715
865,1,1,1,51,0,0,0
866,0,0,1,51,1,1,71.428574
867,1,0,1,29,1,1,
869,1,1,1,69,1,1,
871,0,0,2,83,0,0,
872,0,0,1,52,0,0,
873,1,1,1,46,1,0,14.285715
875,0,0,1,72,1,1,
876,1,1,1,74,0,0,
877,0,0,1,53,1,1,14.285715
878,1,1,1,55,0,0,57.14286
880,0,1,1,56,1,1,85.714287
881,0,0,1,29,1,1,71.428574
882,0,0,1,37,1,1,71.428574
883,1,0,1,76,0,0,
884,0,0,1,43,1,1,71.428574
885,1,1,1,72,0,0,
886,0,1,1,22,1,1,
887,1,0,1,42,1,1,0
889,1,1,1,57,1,1,57.14286
890,1,0,1,52,1,1,
891,0,0,2,63,0,0,
892,0,0,1,47,1,1,85.714287
893,0,0,1,67,1,1,
894,0,0,2,74,0,0,
896,0,0,1,33,1,1,
897,1,1,2,56,0,0,
898,0,0,1,43,1,1,
899,0,0,1,58,0,0,
901,1,0,1,81,1,1,
902,1,1,1,41,0,0,14.285715
903,0,0,1,38,1,1,57.14286
904,1,1,1,41,1,1,57.14286
905,0,0,1,46,1,1,0
906,1,0,1,31,1,1,
908,0,0,2,56,0,0,
909,1,1,1,39,1,1,42.857143
910,0,1,1,45,0,0,71.428574
911,0,0,1,51,1,1,
912,1,1,1,73,1,1,
914,0,0,2,52,0,0,
915,1,1,2,47,0,0,
916,1,0,1,41,1,1,
917,0,0,1,45,1,1,
919,1,0,1,75,0,0,85.714287
920,1,1,1,51,1,1,71.428574
921,1,0,1,32,1,1,
922,1,1,1,50,1,1,57.14286
923,1,1,1,48,,,14.285715
925,0,0,1,51,1,1,
926,0,0,2,51,0,0,
927,1,0,2,52,0,0,
929,0,1,1,37,1,1,71.428574
930,0,0,1,46,1,1,
931,0,1,1,39,1,1,
932,0,0,1,45,0,0,14.285715
934,0,0,1,50,1,1,14.285715
936,1,1,1,46,1,1,14.285715
937,1,1,1,47,1,1,71.428574
938,1,0,2,81,0,0,
939,1,1,1,51,0,0,
940,0,0,1,61,1,1,
941,0,0,2,51,0,0,
942,1,0,1,65,1,0,85.714287
943,0,0,1,46,1,1,85.714287
945,1,1,2,53,1,1,
947,1,0,1,34,1,1,85.714287
948,0,0,1,54,1,1,71.428574
949,0,0,1,45,1,1,28.57143
950,1,1,1,46,0,0,85.714287
951,0,0,1,55,1,1,85.714287
952,0,0,1,60,1,1,
953,0,0,2,40,0,0,85.714287
954,1,1,1,57,1,1,
955,1,0,1,33,0,0,42.857143
956,0,0,2,50,0,0,
957,0,0,1,59,1,1,
958,1,1,1,25,1,1,
961,0,0,1,63,0,0,
962,1,1,1,69,0,0,57.14286
964,0,0,2,59,,,
966,1,1,1,41,1,1,85.714287
967,0,0,1,45,0,0,
969,1,1,1,45,1,1,57.14286
970,0,0,1,49,1,1,71.428574
972,1,1,1,56,1,1,85.714287
974,0,0,1,39,1,1,14.285715
975,0,0,1,34,1,1,28.57143
976,1,0,1,56,1,1,
979,0,0,1,51,1,1,57.14286
980,1,1,1,49,1,1,
981,0,0,1,52,1,1,
982,0,0,1,37,1,1,
983,0,0,2,73,0,0,
984,1,1,2,40,0,0,
986,0,0,1,68,1,1,
987,0,0,2,76,0,0,
988,1,1,2,61,0,0,71.428574
989,0,0,2,52,0,0,
990,0,0,1,28,0,0,
991,1,1,1,56,0,0,57.14286
993,0,0,1,53,0,0,
995,1,0,1,43,0,0,
996,0,0,1,61,1,1,
997,1,1,1,74,1,1,
998,0,0,2,61,0,0,71.428574
999,1,1,2,56,0,0,
1000,1,1,1,31,1,1,
1002,0,0,1,55,0,0,
1003,1,1,1,47,1,1,
1004,0,0,2,68,0,0,
1006,1,0,2,60,0,0,
1007,0,0,1,56,0,0,57.14286
1008,1,0,1,84,0,0,
1009,0,0,1,66,0,0,
1010,0,0,1,39,1,1,85.714287
1011,0,0,2,27,0,0,
1012,1,1,2,41,0,0,42.857143
1013,0,0,2,56,0,0,71.428574
1014,0,1,1,36,1,1,14.285715
1015,0,0,1,42,1,1,
1016,1,0,2,71,0,0,
1017,1,1,2,66,0,0,
1018,1,1,1,51,1,1,85.714287
1019,0,0,1,51,1,1,85.714287
1020,0,0,1,51,1,1,
1021,0,0,1,30,1,1,
1022,0,0,1,45,1,1,42.857143
